term,definition,filename
Merge Sort,"A list is split into individual lists, these are then combined (2 lists at a time).

Best case: O(nlogn)
Average case: O(nlogn)
Worst case: O(nlogn)

Stable ✅
In place ✅ (using pointers and swaps)",merge.png
Quick Sort,"1. If the list to be sorted is length 1, then finish

2. Pick an item within the list to act as a pivot. Usually left-most item.

3. Split list into two parts - one with items equal to or larger than the pivot and the other contains items smaller than the pivot

4. Repeat process on the two halves

Best case: O(nlogn)
Average case: O(nlogn)
Worst case: O(nlogn)

Stable ❌
In place ✅",quicksort.png
Selection sort,"A sort algorithm that repeatedly scans for the smallest item in the list and swaps it with the element at the current index. The index is then incremented, and the process repeats until the last two elements are sorted.

Best case: O(n^2)
Average case: O(n^2)
Worst case: O(n^2)

Stable ❌
In place ✅",
Insertion sort,"Each item is taken in turn, compared to the items in a sorted list and placed in the correct position.

Best case: O(n)
Average case: O(n^2)
Worst case: O(n^2)

Stable ✅
In place ✅",insertionsort.png
Shell sort,"Starts by sorting pairs of elements far apart from each other, then progressively reducing the gap between elements to be compared. Starting with far apart elements can move some out-of-place elements into position faster than a simple nearest neighbor exchange.

Best and average case: depends on gap
Worst case: O(n^2) or better

Stable ❌
In place ✅",shellsort.png
Quick select,"A selection algorithm to find the kth smallest element in an unordered list. Quickselect uses the same overall approach as quicksort, choosing one element as a pivot and partitioning the data in two based on the pivot, accordingly as less than or greater than the pivot. However, instead of recursing into both sides, as in quicksort, quickselect only recurses into one side - the side with the element it is searching for. This reduces the average complexity from O(n log n) to O(n).

Best case: O(n)
Average case: O(n)
Worst case: O(n^2)

In place ✅",
Random sort,"while deck.is_not_shuffled:
    shuffle_deck()

O(n*n!)",
Bucket sort,"Distributes elements into buckets for sorting.

O(n+N) where N is the # of buckets.

Stable: depends on internal sort inside buckets
In place ❌",bucketsort.png
Radix sort,"Non-comparative integer sorting algorithm that sorts data with integer keys by grouping keys by the individual digits which share the same significant position and value. Two classifications of radix sorts are least significant digit (LSD) radix sorts and most significant digit (MSD) radix sorts.

O(n+N) where N is the # of buckets.

Stable: depends on internal sort inside buckets
In place ❌",radixsort.png
Next Fit,"Online, 2M bins, O(n)",
First fit,"Online, 1.7M bins, O(n^2), O(nlogn)",
Best fit,"Online, 1.7M bins, O(nlogn)",
First fit decreasing,"Offline, (4m+1)/3 bins (simplified), O(nlogn)",
Best fit decreasing,"Offline, 4m/3 bins simplified, O(nlogn)",
Optimal,"Offline, m bins, np-complete",
